Folder,Pairs_Found,Baseline_cm,Baseline_Error_Percent,Left_Reprojection_Error_px,Right_Reprojection_Error_px,Stereo_Reprojection_Error_px,Depth_RMSE_m,Spatial_Noise_m,Median_LR_Consistency_Error_px
300mm,39,2.96,1.26,0.85,0.84,1.1,2.1034,2.016,296
350mm,40,3.4,2.73,0.99,1.01,1.77,5.8025,4.8806,231
400mm,40,4.05,1.18,1.08,1.06,2.07,3.282,3.064,315.88
500mm,42,4.98,0.38,0.9,0.89,2.17,6.8933,5.1802,134.81
550mm,40,5.47,0.53,1.03,1,2.56,5.8114,4.572,133.62
700mm,30,7.08,1.11,0.82,0.87,2.26,8.5919,6.5492,64.69
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
450mm,34,-19.35,529.93,0.73,0.97,293.96,nan,nan,145.81
